job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
同方威视       ,硕士           ,企业服务        ,未融资       ,北京 海淀区 五道口  ,图像分析算法工程师           ,1000-9999人 ,14k-22k   ,发布于昨天    ,应届生
北京爱欣文化发展...,本科           ,培训机构        ,          ,北京 朝阳区 三元桥  ,算法工程师               ,100-499人   ,28k-40k   ,发布于02月22日,3-5年
羿娲科技       ,硕士           ,计算机软件       ,A轮        ,北京 海淀区 清河   ,算法工程师               ,20-99人     ,20k-40k   ,发布于02月25日,1-3年
国美在线       ,硕士           ,电子商务        ,已上市       ,北京 朝阳区 三元桥  ,基于Java语言的算法工程师      ,10000人以上   ,26k-50k   ,发布于00:55 ,5-10年
腾讯         ,硕士           ,互联网         ,已上市       ,北京 海淀区 中关村  ,TEG13-语音合成算法工程师（北京） ,10000人以上   ,30k-35k   ,发布于02月17日,3-5年
神州优车集团     ,学历不限         ,生活服务        ,已上市       ,北京 海淀区 中关村  ,算法工程师(智能调度/风控)      ,10000人以上   ,20k-40k   ,发布于02月26日,经验不限
缙铖医疗       ,本科           ,医疗设备/器械     ,未融资       ,北京          ,视觉算法工程师             ,20-99人     ,15k-30k   ,发布于02月13日,1-3年
量化派        ,本科           ,互联网金融       ,C轮        ,北京 海淀区 中关村  ,高级风控算法工程师           ,100-499人   ,20k-30k   ,发布于02月13日,3-5年
锦仕咨询       ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 中关村  ,知识图谱算法工程师           ,0-20人      ,20k-40k   ,发布于02月19日,1-3年
首约科技       ,本科           ,互联网         ,B轮        ,北京 东城区 朝阳门  ,数据挖掘算法工程师           ,1000-9999人 ,25k-50k   ,发布于02月18日,3-5年
恒亚通        ,本科           ,企业服务        ,          ,北京 朝阳区 大望路  ,资深算法工程师             ,0-20人      ,20k-35k   ,发布于02月21日,3-5年
普强信息       ,本科           ,计算机软件       ,C轮        ,北京 海淀区 西北旺  ,语音算法工程师             ,100-499人   ,20k-33k   ,发布于昨天    ,1-3年
映客直播       ,本科           ,移动互联网       ,已上市       ,北京 朝阳区 望京   ,风控算法工程师             ,500-999人   ,25k-40k   ,发布于02月19日,3-5年
君正集成       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 上地   ,音频算法工程师             ,100-499人   ,10k-15k   ,发布于02月22日,经验不限
一起教育科技     ,硕士           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,计算机视觉算法工程师          ,1000-9999人 ,25k-50k   ,发布于02月26日,经验不限
地平线        ,本科           ,互联网         ,B轮        ,北京 海淀区 中关村  ,标定融合算法工程师           ,1000-9999人 ,20k-40k   ,发布于02月24日,3-5年
VIPKID     ,本科           ,移动互联网       ,D轮及以上     ,北京 东城区 雍和宫  ,资深算法工程师（自适应学习）J10262,10000人以上   ,30k-50k   ,发布于02月14日,3-5年
