job_company    ,job_education,job_industry,job_listed,job_location,job_name                  ,job_persons,job_salary,job_time ,job_year
天津数加科技         ,本科           ,移动互联网       ,天使轮       ,北京 海淀区 知春路  ,Python爬虫实习生               ,20-99人     ,5k-10k    ,发布于02月19日,1年以内
奔讯             ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 小营   ,高级Python开发工程师             ,100-499人   ,11k-18k   ,发布于02月25日,5-10年
云识图            ,本科           ,互联网         ,天使轮       ,北京          ,Python开发工程师               ,20-99人     ,10k-15k   ,发布于02月26日,1-3年
微迅             ,大专           ,互联网         ,未融资       ,北京 海淀区 上地   ,Python开发工程师               ,20-99人     ,20k-25k   ,发布于02月22日,3-5年
长木谷医疗          ,本科           ,医疗健康        ,天使轮       ,北京          ,图像处理工程师（python）           ,20-99人     ,13k-26k   ,发布于02月20日,1-3年
知卓科技           ,学历不限         ,互联网         ,未融资       ,北京 朝阳区 大屯   ,Python web开发              ,0-20人      ,11k-22k   ,发布于02月26日,5-10年
北京未动科技有限公司     ,本科           ,智能硬件        ,A轮        ,北京 朝阳区 望京   ,高级Python开发                ,20-99人     ,25k-50k   ,发布于02月14日,5-10年
安全元素           ,本科           ,信息安全        ,天使轮       ,北京 海淀区 上地   ,Python研发工程师               ,0-20人      ,12k-18k   ,发布于02月26日,经验不限
中谷金科           ,本科           ,互联网         ,B轮        ,北京 通州区 北关   ,python高级开发                ,20-99人     ,18k-25k   ,发布于02月26日,3-5年
北京睿信           ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 望京   ,数据分析工程师（python）           ,20-99人     ,11k-20k   ,发布于02月26日,3-5年
美洽             ,本科           ,互联网         ,B轮        ,北京 昌平区 回龙观  ,python（解决方案研发工程岗）         ,100-499人   ,8k-13k    ,发布于02月22日,1-3年
高驰迅杰智能技术       ,本科           ,电力/热力/燃气/水利 ,不需要融资     ,北京 西城区 广外大街 ,Python 开发工程师              ,0-20人      ,9k-14k    ,发布于02月14日,1-3年
掌阅科技           ,本科           ,互联网         ,已上市       ,北京 朝阳区 高碑店  ,高级服务研发工程师（Python）         ,500-999人   ,20k-35k   ,发布于02月21日,5-10年
京东数字科技         ,本科           ,互联网         ,不需要融资     ,北京          ,机器人系统开发工程师（C++、Python）    ,1000-9999人 ,20k-40k   ,发布于02月25日,3-5年
烽台科技           ,本科           ,信息安全        ,未融资       ,北京 朝阳区 奥运村  ,Python接口开发                ,20-99人     ,10k-20k   ,发布于11:22 ,1-3年
元甲信息技术有限公司     ,本科           ,咨询          ,不需要融资     ,北京 朝阳区 国贸   ,Python后端开发工程师             ,100-499人   ,11k-18k   ,发布于02月25日,1-3年
琳云科技           ,本科           ,移动互联网       ,天使轮       ,北京 东城区 朝阳门  ,Python研发工程师               ,20-99人     ,12k-19k   ,发布于02月21日,3-5年
超盟数据           ,本科           ,数据服务        ,A轮        ,北京 朝阳区 三元桥  ,python开发工程师               ,20-99人     ,15k-25k   ,发布于02月26日,3-5年
蚂蚁金服           ,本科           ,互联网         ,C轮        ,北京 朝阳区 朝外   ,Python研发工程师/专家-数据库云平台     ,10000人以上   ,25k-50k   ,发布于02月24日,3-5年
墨迹天气           ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 酒仙桥  ,python开发工程师               ,100-499人   ,15k-30k   ,发布于02月20日,3-5年
好未来            ,本科           ,互联网         ,已上市       ,北京 海淀区 中关村  ,大数据部-Python爬虫实习生          ,10000人以上   ,4k-6k     ,发布于02月21日,应届生
今日头条           ,硕士           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,后台开发实习生python/go/java     ,10000人以上   ,10k-15k   ,发布于02月20日,经验不限
七月在线           ,本科           ,在线教育        ,天使轮       ,北京 昌平区 回龙观  ,python讲师                  ,20-99人     ,18k-25k   ,发布于02月21日,3-5年
北京未动科技有限公司     ,本科           ,智能硬件        ,A轮        ,北京 朝阳区 望京   ,Python高级开发工程师             ,20-99人     ,20k-40k   ,发布于02月14日,5-10年
胖球             ,本科           ,生活服务        ,A轮        ,北京 朝阳区 红庙   ,高级python开发工程师             ,20-99人     ,20k-25k   ,发布于13:46 ,5-10年
乐飞天下           ,大专           ,互联网         ,未融资       ,北京 朝阳区 大望路  ,高级Python开发（直连）            ,20-99人     ,18k-25k   ,发布于02月14日,3-5年
安全元素           ,本科           ,信息安全        ,天使轮       ,北京 海淀区 上地   ,Python 高级研发工程师            ,0-20人      ,18k-25k   ,发布于02月26日,经验不限
