job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
柯莱特集团      ,大专           ,计算机软件       ,已上市       ,北京 海淀区 万柳   ,JAVA工程师        ,1000-9999人 ,11k-14k   ,发布于02月26日,3-5年
上海艾融软件     ,本科           ,互联网         ,不需要融资     ,北京 海淀区 上地   ,Java           ,500-999人   ,8k-15k    ,发布于昨天    ,1-3年
快法务        ,本科           ,企业服务        ,B轮        ,北京 朝阳区 望京   ,java           ,500-999人   ,20k-30k   ,发布于02月26日,3-5年
量化派        ,本科           ,互联网金融       ,C轮        ,北京 海淀区 中关村  ,Java           ,100-499人   ,20k-40k   ,发布于02月19日,3-5年
同方鼎欣       ,本科           ,计算机软件       ,已上市       ,北京          ,JAVA开发工程师      ,1000-9999人 ,12k-23k   ,发布于昨天    ,3-5年
熊猫星厨       ,本科           ,生活服务        ,C轮        ,北京 朝阳区 酒仙桥  ,Java           ,500-999人   ,20k-40k   ,发布于11:20 ,5-10年
掌门1对1      ,本科           ,互联网         ,D轮及以上     ,北京          ,Java           ,10000人以上   ,20k-40k   ,发布于昨天    ,5-10年
天阳宏业       ,本科           ,计算机软件       ,          ,北京 朝阳区 亚运村  ,Java           ,1000-9999人 ,10k-13k   ,发布于02月26日,3-5年
方正电子       ,本科           ,互联网         ,已上市       ,北京 海淀区 上地   ,Java           ,10000人以上   ,15k-25k   ,发布于昨天    ,3-5年
联想利泰       ,本科           ,移动互联网       ,已上市       ,北京 海淀区 定慧寺  ,Java           ,1000-9999人 ,10k-17k   ,发布于02月25日,5-10年
大连铭睿       ,本科           ,计算机软件       ,          ,北京 海淀区 中关村  ,Java           ,100-499人   ,20k-25k   ,发布于11:10 ,3-5年
北京华路时代     ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 团结湖  ,Java(明宇未来)     ,500-999人   ,11k-18k   ,发布于昨天    ,3-5年
健客网        ,本科           ,医疗健康        ,A轮        ,北京 朝阳区 安贞   ,Java           ,1000-9999人 ,19k-35k   ,发布于昨天    ,3-5年
联龙博通       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 西二旗  ,Java           ,1000-9999人 ,13k-18k   ,发布于02月22日,1-3年
联想利泰       ,本科           ,移动互联网       ,已上市       ,北京 西城区 金融街  ,Java           ,1000-9999人 ,3k-7k     ,发布于昨天    ,1年以内
普元智慧       ,大专           ,计算机软件       ,未融资       ,北京 海淀区 中关村  ,Java           ,500-999人   ,11k-20k   ,发布于02月15日,3-5年
大连铭睿       ,本科           ,计算机软件       ,          ,北京 海淀区 中关村  ,Java           ,100-499人   ,20k-25k   ,发布于11:10 ,3-5年
北京易米畅途科技   ,本科           ,计算机软件       ,未融资       ,北京 海淀区 上地   ,Java           ,500-999人   ,14k-20k   ,发布于02月20日,1-3年
中软国际       ,本科           ,计算机软件       ,已上市       ,北京 昌平区 沙河   ,java开发         ,10000人以上   ,10k-20k   ,发布于02月20日,经验不限
名道恒通       ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 朝阳门  ,java工程师        ,100-499人   ,12k-18k   ,发布于02月26日,3-5年
大志天成       ,大专           ,咨询          ,已上市       ,北京 朝阳区 朝外   ,中级Java工程师      ,1000-9999人 ,15k-20k   ,发布于昨天    ,3-5年
柯莱特集团      ,大专           ,计算机软件       ,已上市       ,北京          ,Java开发         ,1000-9999人 ,9k-14k    ,发布于02月26日,1-3年
