地区         ,岗位名称                   ,招聘机构        ,薪水     ,行业
北京 朝阳区 燕莎  ,海外事业部-爬虫工程师J10389      ,途家网         ,15k-25k,互联网
北京 朝阳区 朝外  ,海外事业部-爬虫工程师（实习）J10397  ,途家网         ,2k-4k  ,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,同程艺龙        ,20k-30k,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,明日          ,10k-20k,游戏
北京 朝阳区 望京  ,爬虫工程师                  ,骑士联盟信息服务    ,15k-30k,互联网金融
北京         ,爬虫工程师                  ,云合数据        ,8k-16k ,移动互联网
北京         ,爬虫工程师                  ,红外高科        ,10k-15k,社交网络
北京 海淀区 五道口 ,爬虫工程师                  ,寻球科技        ,10k-20k,互联网
北京 海淀区 知春路 ,广告爬虫工程师                ,北京字节跳动      ,25k-50k,移动互联网
北京 朝阳区 望京  ,爬虫工程师                  ,超对称         ,13k-26k,互联网
北京 朝阳区 国贸  ,爬虫开发工程师                ,旭金科技        ,12k-24k,互联网金融
北京 海淀区 中关村 ,数据爬虫工程师                ,创业公社        ,12k-18k,互联网
北京 海淀区 五道口 ,大数据java工程师（偏爬虫）        ,安妮股份        ,20k-21k,移动互联网
北京 朝阳区 望京  ,爬虫开发工程师                ,一点资讯        ,15k-30k,移动互联网
北京 海淀区 上地  ,Python爬虫抓取             ,小圈子         ,20k-40k,互联网
北京 海淀区 西北旺 ,机器学习/数据挖掘研发工程师         ,百度          ,20k-35k,互联网
北京 海淀区 学院路 ,全栈/后端开发资深工程师           ,逸风金科        ,15k-30k,计算机软件
北京         ,软件开发工程师                ,京东数字科技      ,20k-25k,互联网
北京 朝阳区 四惠  ,数据采集                   ,微享移动        ,15k-20k,计算机软件
北京 海淀区 颐和园 ,PHP                    ,E20环境平台     ,10k-11k,互联网
北京 西城区 月坛  ,Python                 ,中经云         ,10k-20k,互联网
